OBJECTID,ABBREV,PERIOD,EPOCH,FORMATION,GROUP_,TOT_THICK_M,COLOR,LITH1,LITH2,LITH3,LITH4,GENESIS1,GENESIS2,GENESIS3,GENESIS4,SHAPE.AREA,SHAPE.LEN
33,Kn,Cretaceous,Upper Cretaceous,Niobrara Formation, ,75,light brown to dk gray,calcareous shale, , , ,marine offshore, , , ,0.00935927972071014,1.28347482627993
14,Tc,Tertiary,Paleocene,Cannonball Formation, ,150,olive brown,"sand, shale, sandstone", , , ,marine shoreline and offshore, , , ,0.0205608753308931,0.9472145023074421
166,Tg,Tertiary,Eocene and Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, and sand", , ,fluvial,Weathering zone developed on Ts, , ,0.00549499927322438,0.30211619911945603
202,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.000400399240511296,0.09421031725160571
125,Kh,Cretaceous,Upper Cretaceous,Hell Creek Formation, ,150,gray,"sand, silt, clay, and sandstone", , , ,river, , , ,0.00453270674031885,0.274813691595524
121,Kf,Cretaceous,Upper cretaceous,Fox Hills Formation, ,120,olive brown,"sand, shale, and sandstone", , , ,marine shoreline and offshore, , , ,0.0720020193901098,1.5723120434078
32,Tb,Tertiary,Paleocene,Bullion Creek, ,200,yellowish brown,"silt, sand, clay, sandstone, and lignite", , , ,"river, lake, swamp", , , ,0.006484203353470531,0.477929067404404
6,Kc,Cretaceous,Upper Cretaceous,Carlile Formation, ,120,dark gray,shale, , , ,marine offshore, , , ,0.608061226423677,10.2077633030849
234,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.00018608401764902402,0.0534772454189898
187,Tg,Tertiary,Eocene or Paleocene,Golden Valley, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,4.69378425206e-5,0.0306587018525673
169,Tg,Tertiary,Eocene and Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, and cla","clay, silt, and sand", , ,fluvial,Weathering zone developed on Ts, , ,0.004242531362101651,0.271732182592435
94,Tp,Tertiary,Paleocene,Slope Formation, ,100,"grayish-brown, yellowish-brown","silt, sand, clay, sandstone, and lignite", , , ,"river, lake, swamp", , , ,0.0046039378322544604,0.364141923290047
206,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.0009574531916807361,0.161062802683015
28,Tb,Tertiary,Paleocene,Bullion Creek Formation, ,200,yellowish brown,"silt, sand, clay, sandstone and lignite", , , ,"river, lake, swamp", , , ,0.059923309731647,1.19629917488722
